ID-CLIENTE;Nome ;Cognome;Data di nascita ;Sesso;Numero di Cellulare;Residenza;Domicilio
C55503;Antonino;Soranzo;24/02/2001;M;+39 328 4694351;Viale Rossana 022, Cammarata calabro...;Viale Sforza 615, Giulio laziale...
C73015;Pier;Garobbio;07/11/1973;F;+39 587 92 14 6568;Viale Pierluigi 9, Boccherini calabro...;Rotonda Beffa 0, Paolo del friuli...
C32200;Simone;Gabbana;03/08/1979;M;+39 534 9579107;Borgo Basadonna 30, Mastroianni calabro...;Contrada Alessia 7, Mennea a mare...
C71635;Fiorino;Notarbartolo;12/06/1991;M;+39 16 4331571;Strada Pierpaolo 362, Inzaghi calabro...;Stretto Rizzo 23, Settimo Ermenegildo...
C12342;Martino;Lucchesi;13/07/1985;M;+39 262 6397725;Stretto Giannelli 41, Abba ligure...;Via Giolitti 336, Settimo Marcello salentino...
C96529;Patrizia;Trapanese;04/03/1961;M;+39 805 7317800;Viale Ferrazzi 7, Quarto Renzo calabro...;Piazza Ettore 8, Micheletto nero...
C42640;Benedetto;Pavarotti;14/10/1997;F;+39 917 9932165;Stretto Aldo 04, Settimo Gloria del friuli...;Borgo Donato 57, Alboni calabro...
C27785;Loretta;Vergassola;01/10/2001;M;+39 121 4536606;Borgo Saragat 8, Iolanda salentino...;Incrocio Alfredo 1, Sesto Michelotto ligure...
C19451;Luigina;Casarin;14/01/1966;F;+39 14 6632925;Viale Adamo 801, Azeglio veneto...;Contrada Filippo 7, Bonatti umbro...
C70689;Angelina;Einaudi;17/12/1997;F;+39 547 8137279;Rotonda Orlando 71, Borgo Antonina...;Rotonda Stefano 94, Scarpetta umbro...
