ID-DIPENDENTE;Nome ;Cognome;Data di nascita ;Sesso;Numero di Cellulare;Residenza;Domicilio
D923;Benedetto;Leopardi;30/01/1981;F;+39 6951 47614455;Rotonda Aria 5 Piano 1, Quarto Claudia laziale...;Incrocio Marazzi 53, Marcello laziale...
D212;Cassandra;Franzese;09/08/2002;M;+39 939 5300078;Via Imelda 5, Settimo Amico terme...;Contrada Gori 594, San Simone salentino...
D789;Gianpietro;Gaito;28/05/2005;M;+39 440 71 87 5528;Strada Vittoria 457, Serafina laziale...;Piazza Foletti 63, Borgo Fedele sardo...
D888;Maria;Leopardi;12/12/1960;M;+39 235 14 70 8993;Stretto Dellucci 587, Morena sardo...;Viale Benito 01, Sesto Gino sardo...
D307;Annibale;Deledda;14/05/1960;F;+39 205 6474849;Incrocio Castelli 588 Piano 1, Sesto Eraldo...;Vicolo Cagnin 7, Rastelli laziale...
D190;Priscilla;Oscuro;28/02/1967;F;+39 219 1552150;Vicolo Vittoria 3, Settimo Benvenuto del friuli...;Incrocio Fagotto 5, Doglioni salentino...
D869;Antonia;Catenazzi;12/04/1993;F;+39 791 9815314;Piazza Paolini 2, San Virgilio ligure...;Viale Valmarana 1 Appartamento 14, Botticelli...
D826;Fabrizia;Tartini;27/04/1988;F;+39 57 39146574;Canale Isa 2 Appartamento 11, Settimo Fiamma...;Incrocio Bignardi 62 Appartamento 51, San Valentino...
D825;Dionigi;Riccati;06/09/2000;M;+39 2245 4110287;Vicolo Giuliano 005 Appartamento 29, Settimo Rocco...;Piazza Costanzi 4 Appartamento 58, San Pasquale...
D486;Zaira;Scaduto;18/01/1988;M;+39 1873 9302671;Piazza Basso 9, Milena del friuli...;Borgo Stella 13, Settimo Camillo...
